continent,country,population,year,income,LLAVE_MUNICIPIO,llaveeconomia
Económicamente inactiva Estudiantes,La Magdalena Contreras,22774,2000,22.774,7,160
Económicamente inactiva Jubilados y pensionados,La Magdalena Contreras,4417,2000,4.417,7,161
Económicamente inactiva Incapacitados permanentemente para trabajar,La Magdalena Contreras,484,2000,0.484,7,162
Económicamente inactiva Otros,La Magdalena Contreras,17097,2000,17.097,7,163
Económicamente No Especificado,La Magdalena Contreras,573,2000,0.573,7,164
Económicamente activa Ocupados,Álvaro Obregón,289812,2000,289.812,9,154
Económicamente activa Desocupados,Álvaro Obregón,4908,2000,4.908,9,157
Económicamente inactiva,Álvaro Obregón,235717,2000,235.717,9,158
Económicamente inactiva Quehaceres domésticos,Álvaro Obregón,93590,2000,93.59,9,159
Económicamente inactiva Estudiantes,Álvaro Obregón,71180,2000,71.18,9,160
Económicamente inactiva Jubilados y pensionados,Álvaro Obregón,13428,2000,13.428,9,161
Económicamente inactiva Incapacitados permanentemente para trabajar,Álvaro Obregón,1901,2000,1.901,9,162
Económicamente inactiva Otros,Álvaro Obregón,55618,2000,55.618,9,163
Económicamente No Especificado,Álvaro Obregón,2343,2000,2.343,9,164
Económicamente activa Ocupados,Cuajimalpa de Morelos,81494,2010,81.494,3,154
Económicamente activa Desocupados,Cuajimalpa de Morelos,3170,2010,3.17,3,157
Económicamente inactiva,Cuajimalpa de Morelos,58618,2010,58.618,3,158
Económicamente inactiva Quehaceres domésticos,Cuajimalpa de Morelos,28051,2010,28.051,3,159
Económicamente inactiva Estudiantes,Cuajimalpa de Morelos,24626,2010,24.626,3,160
Económicamente inactiva Jubilados y pensionados,Cuajimalpa de Morelos,3154,2010,3.154,3,161
Económicamente inactiva Incapacitados permanentemente para trabajar,Cuajimalpa de Morelos,730,2010,0.73,3,162
Económicamente inactiva Otros,Cuajimalpa de Morelos,2057,2010,2.057,3,163
Económicamente No Especificado,Cuajimalpa de Morelos,853,2010,0.853,3,164
Económicamente activa Ocupados,La Magdalena Contreras,102985,2010,102.985,7,154
Económicamente activa Desocupados,La Magdalena Contreras,5015,2010,5.015,7,157
Económicamente inactiva,La Magdalena Contreras,81569,2010,81.569,7,158
Económicamente inactiva Quehaceres domésticos,La Magdalena Contreras,36108,2010,36.108,7,159
Económicamente inactiva Estudiantes,La Magdalena Contreras,31960,2010,31.96,7,160
Económicamente inactiva Jubilados y pensionados,La Magdalena Contreras,7975,2010,7.975,7,161
Económicamente inactiva Incapacitados permanentemente para trabajar,La Magdalena Contreras,1367,2010,1.367,7,162
Económicamente inactiva Otros,La Magdalena Contreras,4159,2010,4.159,7,163
Económicamente No Especificado,La Magdalena Contreras,1730,2010,1.73,7,164
Económicamente activa Ocupados,Álvaro Obregón,327230,2010,327.23,9,154
Económicamente activa Desocupados,Álvaro Obregón,15184,2010,15.184,9,157
Económicamente inactiva,Álvaro Obregón,240173,2010,240.173,9,158
Económicamente inactiva Quehaceres domésticos,Álvaro Obregón,106970,2010,106.97,9,159
Económicamente inactiva Estudiantes,Álvaro Obregón,93227,2010,93.227,9,160
Económicamente inactiva Jubilados y pensionados,Álvaro Obregón,23978,2010,23.978,9,161
Económicamente inactiva Incapacitados permanentemente para trabajar,Álvaro Obregón,4237,2010,4.237,9,162
Económicamente inactiva Otros,Álvaro Obregón,11761,2010,11.761,9,163
Económicamente No Especificado,Álvaro Obregón,4618,2010,4.618,9,164
Económicamente activa Ocupados,Cuajimalpa de Morelos,91063,2015,91.063,3,154
Económicamente activa Desocupados,Cuajimalpa de Morelos,2501,2015,2.501,3,157
Económicamente inactiva,Cuajimalpa de Morelos,69464,2015,69.464,3,158
Económicamente No Especificado,Cuajimalpa de Morelos,560,2015,0.56,3,164
Económicamente activa Ocupados,La Magdalena Contreras,105951,2015,105.951,7,154
Económicamente activa Desocupados,La Magdalena Contreras,5226,2015,5.226,7,157
Económicamente inactiva,La Magdalena Contreras,87775,2015,87.775,7,158
Económicamente No Especificado,La Magdalena Contreras,2126,2015,2.126,7,164
Económicamente activa Ocupados,Álvaro Obregón,351409,2015,351.409,9,154
Económicamente activa Desocupados,Álvaro Obregón,10961,2015,10.961,9,157
Económicamente inactiva,Álvaro Obregón,263791,2015,263.791,9,158
Económicamente No Especificado,Álvaro Obregón,3989,2015,3.989,9,164
