continent,country,population,year,income,LLAVE_MUNICIPIO,llaveeconomia
Económicamente inactiva Incapacitados permanentemente para trabajar,Iztacalco,2686,2010,2.686,5,162
Económicamente inactiva Otros,Iztacalco,5812,2010,5.812,5,163
Económicamente No Especificado,Iztacalco,1995,2010,1.995,5,164
Económicamente activa Ocupados,Iztapalapa,752268,2010,752.268,6,154
Económicamente activa Desocupados,Iztapalapa,40029,2010,40.029,6,157
Económicamente inactiva,Iztapalapa,626317,2010,626.317,6,158
Económicamente inactiva Quehaceres domésticos,Iztapalapa,297793,2010,297.793,6,159
Económicamente inactiva Estudiantes,Iztapalapa,242791,2010,242.791,6,160
Económicamente inactiva Jubilados y pensionados,Iztapalapa,47596,2010,47.596,6,161
Económicamente inactiva Incapacitados permanentemente para trabajar,Iztapalapa,12816,2010,12.816,6,162
Económicamente inactiva Otros,Iztapalapa,25321,2010,25.321,6,163
Económicamente No Especificado,Iztapalapa,14979,2010,14.979,6,164
Económicamente activa Ocupados,Venustiano Carranza,187508,2010,187.508,16,154
Económicamente activa Desocupados,Venustiano Carranza,9975,2010,9.975,16,157
Económicamente inactiva,Venustiano Carranza,149121,2010,149.121,16,158
Económicamente inactiva Quehaceres domésticos,Venustiano Carranza,64295,2010,64.295,16,159
Económicamente inactiva Estudiantes,Venustiano Carranza,54734,2010,54.734,16,160
Económicamente inactiva Jubilados y pensionados,Venustiano Carranza,20089,2010,20.089,16,161
Económicamente inactiva Incapacitados permanentemente para trabajar,Venustiano Carranza,2908,2010,2.908,16,162
Económicamente inactiva Otros,Venustiano Carranza,7095,2010,7.095,16,163
Económicamente No Especificado,Venustiano Carranza,1455,2010,1.455,16,164
Económicamente activa Ocupados,Iztacalco,175194,2015,175.194,5,154
Económicamente activa Desocupados,Iztacalco,8225,2015,8.225,5,157
Económicamente inactiva,Iztacalco,148669,2015,148.669,5,158
Económicamente No Especificado,Iztacalco,619,2015,0.619,5,164
Económicamente activa Ocupados,Iztapalapa,786218,2015,786.218,6,154
Económicamente activa Desocupados,Iztapalapa,39302,2015,39.302,6,157
Económicamente inactiva,Iztapalapa,674475,2015,674.475,6,158
Económicamente No Especificado,Iztapalapa,2802,2015,2.802,6,164
Económicamente activa Ocupados,Venustiano Carranza,194371,2015,194.371,16,154
Económicamente activa Desocupados,Venustiano Carranza,9136,2015,9.136,16,157
Económicamente inactiva,Venustiano Carranza,159810,2015,159.81,16,158
Económicamente No Especificado,Venustiano Carranza,743,2015,0.743,16,164
